"date","position","state","endorser","endorsee","endorser.party","source","category","points","drop","drop_date"
"28.07.17","representative","MD","David Trone","John Delaney","D","https://twitter.com/davidjtrone/status/890985957981401088","Representatives",3,0,"NA"
"02.01.19","governor","NY","Andrew Cuomo","Joe Biden","D","https://www.cnn.com/2019/01/02/politics/cuomo-biden-best-case-2020/index.html","Governors",8,0,"NA"
"03.01.19","senator","CA","Dianne Feinstein","Joe Biden","D","https://www.politico.com/story/2019/01/03/dianne-feinstein-2020-pick-joe-biden-1079024","Senators",6,0,"NA"
"08.01.19","senator","DE","Thomas R. Carper","Joe Biden","D","https://fox61.com/2019/01/08/will-he-or-wont-he-joe-biden-looms-over-the-2020-field/","Senators",6,0,"NA"
"12.01.19","mayor","TX","Ron Nirenberg","Julian Castro",NA,"https://www.sacurrent.com/the-daily/archives/2019/01/12/former-san-antonio-mayor-julian-castro-launches-2020-presidential-bid-at-west-side-rally","Mayors",3,1,"2020-01-02"
"21.01.19","DNC member","CA","Laphonza Butler","Kamala Harris","D","https://www.politico.com/states/california/story/2019/01/21/kamala-harris-launches-campaign-for-president-804259","DNC members",1,1,"2019-12-03"
"25.01.19","DNC member","DC","James J. Zogby","Bernie Sanders","D","https://twitter.com/jjz1600/status/1088974458885455872","DNC members",1,0,"NA"
"27.01.19","state treasurer","CA","Fiona Ma","Kamala Harris","D","https://twitter.com/fionama/status/1089623289872343040","Statewide officeholders",2,1,"2019-12-03"
"27.01.19","lieutenant governor","CA","Eleni Kounalakis","Kamala Harris","D","https://twitter.com/EleniForCA/status/1089628133228109824","Statewide officeholders",2,1,"2019-12-03"
"27.01.19","mayor","CA","Libby Schaaf","Kamala Harris","D","https://www.mercurynews.com/2019/01/27/kamala-harris-president-oakland-rally-campaign-kickoff/","Mayors",3,1,"2019-12-03"
"27.01.19","mayor","CA","London Breed","Kamala Harris","D","https://www.politico.com/newsletters/california-playbook/2019/01/28/kamala-launches-on-her-home-turf-trump-renews-california-lie-newsom-intensifies-housing-battle-shutdown-victory-boosts-pelosi-data-privacy-20-fight-powers-up-382254","Mayors",3,1,"2019-12-03"
"28.01.19","representative","CA","Ted Lieu","Kamala Harris","D","https://thehill.com/homenews/house/427255-ted-lieu-endorses-kamala-harris-for-president-she-embraces-the-future","Representatives",3,1,"2019-12-03"
"29.01.19","representative","CA","Nanette Diaz Barragán","Kamala Harris","D","https://twitter.com/Nanette4CA/status/1090386597604978689","Representatives",3,1,"2019-12-03"
"01.02.19","senator","NJ","Robert Menendez","Cory Booker","D","https://twitter.com/BobMenendezNJ/status/1091391811040567297","Senators",6,0,"2020-01-13"
"01.02.19","governor","NJ","Phil Murphy","Cory Booker","D","https://newjerseyglobe.com/fr/murphy-endorses-booker-presidential-bid/","Governors",8,0,"2020-01-13"
"04.02.19","DNC member","SC","Clay N. Middleton","Cory Booker","D","https://www.postandcourier.com/politics/cory-booker-makes-key-campaign-hires-in-south-carolina/article_b4381394-287b-11e9-8c77-8fbeeae31ac7.html","DNC members",1,0,"2020-01-13"
"06.02.19","past vice president","MN","Walter Mondale","Amy Klobuchar","D","https://wadenapj.com/news/government-and-politics/4567736-mondale-backs-klobuchar-bid-former-vp-likes-senators-chances","Past presidents and vice presidents",10,0,"NA"
"07.02.19","president pro tem","CA","Toni Atkins","Kamala Harris","D","https://www.politico.com/story/2019/02/07/kamala-harris-2020-california-endorsments-1157651","State legislative leaders",2,1,"2019-12-03"
